indexName,documentTypeName,TR_DTM,EBNK_MED_DSC,COPR_DS,LANG_DS,E_FNC_USR_OS_DSC,E_FNC_LGIN_DSC,NBNK_C,RMS_SVC_C,E_FNC_USR_DVIC_INF_CNTN,E_FNC_USR_ACS_DSC,E_FNC_MED_SVCID,E_FNC_MED_SVRNM,E_FNC_RSP_C,EXE_YN,Amount,E_FNC_TR_ACNO_C,IO_EA_DD1_FTR_LMT3,IO_EA_TM1_FTR_LMT3,IO_EA_PW_CD_DS1,IO_EA_PW_CD_DS2,IO_EA_PW_CD_DS3,PRE_ASSIGN_YN,SMS_AUTHEN_YN,EXCEPT_REGIST,EXCEPTION_ADD_AUTHEN_YN,SMART_AUTHEN_YN,ATTC_DS,FTR_DS2,RV_AC_DGN_YN2,IO_EA_DPZ_PL_IMP_BAC,IO_EA_TOT_BAC6,IO_EA_RMT_FEE1,securityMediaType,workType,workGbn,FDS_IDEN,country,doaddress,pc_PubIpCntryCd,pc_isProxy,pc_PrxyCntryCd,pc_isVpn,pc_VpnCntryCd,pc_FORGERY_MAC_YN,pc_FORGERY_MAC_ETH0_YN,pc_FORGERY_MAC_ETH1_YN,pc_FORGERY_MAC_ETH2_YN,pc_FORGERY_MAC_ETH3_YN,pc_FORGERY_MAC_ETH4_YN,pc_FORGERY_MAC_ETH5_YN,pc_HdModel,pc_BwVsnCd,pc_isVm,pc_vmName,pc_SCAN_CNT_DETECT,pc_SCAN_CNT_CURED,pc_os,pc_OsLangCd,pc_OsRemoteYn,pc_OS_FIREWALL_CD,pc_REMOTE_YN,pc_RemoteProg,pc_RemotePORT,pc_remoteInfo1,pc_remoteInfo2,pc_remoteInfo3,pc_remoteInfo4,pc_remoteInfo5,pc_remoteInfo6,pc_remoteInfo7,pc_remoteInfo8,pc_isWinDefender,pc_isWinFirewall,pc_isCertMisuse,sm_deviceModel,sm_osVersion,sm_service,sm_locale,sm_network,sm_jailBreak,sm_roaming,sm_wifiApSsid,sm_mobileAPSsid,blockingType,totalScore,processState,pc_foresicInfo,isForeigner,isNewAccount,isNewDevice
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAIPROGGR0,iPhone XR,99,NSAC1010R,16.83-01,,,0,,50000,10000,0,11,,0,0,1,0,0,,2,1,0,0,,5,CERT,2,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,2,0,"iPhone11,8",14.4.2,ñé?ì¹?,ko_KR,WIFI,0,,,ñé?ì¹?,M,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAIPROGGR0,iPhone XR,99,NSAC1010R,16.82-01,,,0,,50000,10000,0,11,,0,0,1,0,0,,2,1,0,0,,5,CERT,2,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,2,0,"iPhone11,8",14.4.2,ñé?ì¹?,ko_KR,WIFI,0,,,ñé?ì¹?,BC,0,FRAUD,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAOPCA07I0,iPhone XR,99,NSAC2010R,16.82-01,,,0,,0,0,,,,,,,,,,,,0,0,,2,2,1,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0,,,,,,-1,,,,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,2,3,,EAIPROGGR0,iPhone XR,99,NSAC1010R,16.82-01,,,0,,50000,10000,0,11,,0,0,1,0,0,,2,1,0,0,,5,CERT,1,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,2,0,"iPhone11,8",14.4.2,ñé?ì¹?,ko_KR,WIFI,0,,,ñé?ì¹?,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,2,3,,EAIPROGGR0,iPhone X,99,NSAC1010R,16.83-07,,,0,,50000,10000,0,11,,0,0,1,0,0,,2,1,0,0,,5,CERT,1,null,ETC,ETC,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,2,0,"iPhone10,3",14.6,KT,ko_KR,WIFI,0,,,KT,B,0,IMPOSSIBLE,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,2,3,,EAIPROGGR0,iPhone X,99,NSAC1010R,16.83-07,,,0,,50000,10000,0,11,,0,0,1,0,0,,2,1,0,0,,5,CERT,1,null,ETC,ETC,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,2,0,"iPhone10,3",14.6,KT,ko_KR,WIFI,0,,,KT,B,0,FRAUD,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAIPROGGR0,"iPhone 13,4",99,NSACC1010R,16.85-03,,,0,,50000,10000,0,11,,0,0,1,0,0,,2,1,0,0,,5,CERT,2,null,ETC,ETC,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,"iPhone13,4",14.7.1,ñé?ì¹?,ko_KR,WIFI,0,,,ñé?ì¹?,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAIPROGGR0,"iPhone 13,4",99,NSACC1010R,16.85-03,,,0,,50000,10000,0,11,,0,0,1,0,0,,2,1,0,0,,5,CERT,2,null,ETC,ETC,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,"iPhone13,4",14.7.1,ñé?ì¹?,ko_KR,WIFI,0,,,ñé?ì¹?,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAIPROGGR0,"iPhone 13,4",99,NSACC1010R,16.85-03,,,0,,50000,10000,0,11,,0,0,1,0,0,,1,1,0,0,,5,CERT,2,null,ETC,ETC,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,"iPhone13,4",14.7.1,ñé?ì¹?,ko_KR,WIFI,0,,,ñé?ì¹?,BC,20,FRAUD,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAOPCA07I0,"iPhone 13,4",99,NSBHJ200R,16.85-03,,,0,,0,0,,,,,,,,,,,,0,0,,2,2,1,null,ETC,ETC,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0,,,,,,-1,,,,P,0,N,,,,
